season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2025,15,zandvoort,bortoleto,2004-10-14,Brazilian,sauber,13,5931414.0,Finished,0.0,15,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,15,zandvoort,antonelli,2006-08-25,Italian,mercedes,11,5931878.0,Finished,0.0,16,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,15,zandvoort,gasly,1996-02-07,French,alpine,14,5933478.0,Finished,0.0,17,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,15,zandvoort,norris,1999-11-13,British,mclaren,2,5168487.0,Retired,0.0,18,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,15,zandvoort,leclerc,1997-10-16,Monegasque,ferrari,6,,Retired,0.0,19,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,15,zandvoort,hamilton,1985-01-07,British,ferrari,7,,Retired,0.0,20,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
2025,16,monza,max_verstappen,1997-09-30,Dutch,red_bull,1,4404325.0,Finished,25.0,1,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,norris,1999-11-13,British,mclaren,2,4423532.0,Finished,18.0,2,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,piastri,2001-04-06,Australian,mclaren,3,4425676.0,Finished,15.0,3,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,leclerc,1997-10-16,Monegasque,ferrari,4,4429949.0,Finished,12.0,4,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,russell,1998-02-15,British,mercedes,5,4437206.0,Finished,10.0,5,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,hamilton,1985-01-07,British,ferrari,10,4441774.0,Finished,8.0,6,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,albon,1996-03-23,Thai,williams,14,4454862.0,Finished,6.0,7,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,bortoleto,2004-10-14,Brazilian,sauber,7,4462809.0,Finished,4.0,8,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,antonelli,2006-08-25,Italian,mercedes,6,4464087.0,Finished,2.0,9,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,hadjar,2004-09-28,French,rb,19,4468216.0,Finished,1.0,10,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,sainz,1994-09-01,Spanish,williams,13,4468794.0,Finished,0.0,11,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,bearman,2005-05-08,British,haas,11,4483613.0,Finished,0.0,12,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,tsunoda,2000-05-11,Japanese,red_bull,9,4485026.0,Finished,0.0,13,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,lawson,2002-02-11,New Zealander,rb,18,4486676.0,Finished,0.0,14,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,ocon,1996-09-17,French,haas,15,4406460.0,Lapped,0.0,15,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,gasly,1996-02-07,French,alpine,20,4410162.0,Lapped,0.0,16,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,colapinto,2003-05-27,Argentine,alpine,17,4411773.0,Lapped,0.0,17,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,stroll,1998-10-29,Canadian,aston_martin,16,4413626.0,Lapped,0.0,18,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,alonso,1981-07-29,Spanish,aston_martin,8,,Retired,0.0,19,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,16,monza,hulkenberg,1987-08-19,German,sauber,12,,Did not start,0.0,20,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
2025,17,baku,max_verstappen,1997-09-30,Dutch,red_bull,1,5606408.0,Finished,25.0,1,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,russell,1998-02-15,British,mercedes,5,5621017.0,Finished,18.0,2,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,sainz,1994-09-01,Spanish,williams,2,5625607.0,Finished,15.0,3,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,antonelli,2006-08-25,Italian,mercedes,4,5628168.0,Finished,12.0,4,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,lawson,2002-02-11,New Zealander,rb,3,5639698.0,Finished,10.0,5,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,tsunoda,2000-05-11,Japanese,red_bull,6,5640216.0,Finished,8.0,6,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,norris,1999-11-13,British,mclaren,7,5640635.0,Finished,6.0,7,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,hamilton,1985-01-07,British,ferrari,12,5642718.0,Finished,4.0,8,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,leclerc,1997-10-16,Monegasque,ferrari,10,5643182.0,Finished,2.0,9,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,hadjar,2004-09-28,French,rb,8,5645390.0,Finished,1.0,10,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,bortoleto,2004-10-14,Brazilian,sauber,13,5674014.0,Finished,0.0,11,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,bearman,2005-05-08,British,haas,15,5674670.0,Finished,0.0,12,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,albon,1996-03-23,Thai,williams,19,5679278.0,Finished,0.0,13,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,ocon,1996-09-17,French,haas,20,5683988.0,Finished,0.0,14,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,alonso,1981-07-29,Spanish,aston_martin,11,5685115.0,Finished,0.0,15,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,hulkenberg,1987-08-19,German,sauber,17,5686645.0,Finished,0.0,16,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,stroll,1998-10-29,Canadian,aston_martin,14,5702800.0,Finished,0.0,17,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,gasly,1996-02-07,French,alpine,18,5610273.0,Lapped,0.0,18,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,colapinto,2003-05-27,Argentine,alpine,16,5612733.0,Lapped,0.0,19,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
2025,17,baku,piastri,2001-04-06,Australian,mclaren,9,,Retired,0.0,20,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
